tid,tournament_name,start_date,event_day,month,round,table,player_id,player_name,player_deck,opponent_id,opponent_name,opponent_deck,result
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,j2QCbi8rckQctKFUxHEn#1,Samuel,,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,j2QCbi8rckQctKFUxHEn#2,Thiago,,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,j2QCbi8rckQctKFUxHEn#1,Samuel,,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,j2QCbi8rckQctKFUxHEn#2,Thiago,,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,j2QCbi8rckQctKFUxHEn#1,Samuel,,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,j2QCbi8rckQctKFUxHEn#1,Samuel,,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,j2QCbi8rckQctKFUxHEn#1,Samuel,,j2QCbi8rckQctKFUxHEn#2,Thiago,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,j2QCbi8rckQctKFUxHEn#2,Thiago,,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,2,j2QCbi8rckQctKFUxHEn#2,Thiago,,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,lose
